fecha;nro_pliego ;nro_orden_de_compra ;unidad_ejecutora;jurisdiccion;proveedor;cuit;importe;descripcion;cantidad;descripcion_rubro
2020-01-06 00:00:00;410-0571-LPU20;410-5743-OC20;410 - HTAL.TEODORO ALVAREZ;MINISTERIO DE SALUD;EGLIS S.A;30-59401076-7;12100;BOLSA PARA TRANSPORTE DE MUESTRAS BIOLOGICAS . Modelo: De polipropileno virgen,no tóxico.Con doble compartimiento para la muestra y el protocolo de trabajo,con solapa de cierre definitivo.;2000;Salud
2020-01-06 00:00:00;421-3460-CME19;421-5768-OC20;421 - HTAL. PEDRO LAGLEYZE;MINISTERIO DE SALUD;GENBIOTECH SRL;30-70941519-7;13500;MICROPIPETA AUTOMATICA Modelo: De volumen variable de 100-1000µL, con cuerpo y extremidad resistente a los agentes quimicos agresivos, con display digital, para ser utilizadas con tips universales, con eyector de tips incorporado al cuerpo de la pipeta.;1;Salud
2020-01-06 00:00:00;421-3460-CME19;421-5768-OC20;421 - HTAL. PEDRO LAGLEYZE;MINISTERIO DE SALUD;GENBIOTECH SRL;30-70941519-7;13500;MICROPIPETA AUTOMATICA Modelo: De volumen variable de 10-100 µL, con cuerpo y extremidad resistente a los agentes qumicos agresivos, con display digital, para ser utilizadas con tips universales, con eyector de tips incorporado al cuerpo de la pipeta.;1;Salud
2020-01-06 00:00:00;421-3460-CME19;421-5768-OC20;421 - HTAL. PEDRO LAGLEYZE;MINISTERIO DE SALUD;GENBIOTECH SRL;30-70941519-7;1200;PUNTA PARA PIPETA (TIP) Modelo: Azul, plástica;1000;Salud
2020-01-06 00:00:00;422-0575-LPU20;422-5795-OC20;422 - HTAL. BRAULIO MOYANO;MINISTERIO DE SALUD;EGLIS S.A;30-59401076-7;6050;BOLSA PARA TRANSPORTE DE MUESTRAS BIOLOGICAS . Modelo: De polipropileno virgen,no tóxico.Con doble compartimiento para la muestra y el protocolo de trabajo,con solapa de cierre definitivo.;1000;Salud
2020-01-06 00:00:00;417-1211-CME20;417-5817-OC20;417 - HTAL. PEDRO DE ELIZALDE;MINISTERIO DE SALUD;DROGUERIA MARTORANI S.A.;30-70296606-6;36656;CANULA PARA TRAQUEOSTOMIA SIN BALON b) Un repuesto de cánula interior de 10 mm de diámetro interno. c) Una válvula de una vía con adaptador para Luer y Luer-Lock, y obturador, d) Un collarín de fijación, e) Un tirante elástico de 44 cm de largo. Estéril, atóxico y apirogénico. Envasado individualmente en envase que garantice su conservación. Medida: De 4 mm Modelo: De 4 mm de diámetro interno de cánula. De PVC siliconado, apto para uso medicinal, con propiedades termoplásticas para su mejor adaptación. Constituida por: a) Un conjunto de cánula exterior y cánula interior de 4 mm de diámetro interno Variedad: Sin balón;40;Salud
2020-01-06 00:00:00;417-1211-CME20;417-5817-OC20;417 - HTAL. PEDRO DE ELIZALDE;MINISTERIO DE SALUD;DROGUERIA MARTORANI S.A.;30-70296606-6;36656;CANULA PARA TRAQUEOSTOMIA SIN BALON b) Un repuesto de cánula interior de 4,5 mm de diámetro interno. c) Una válvula de una vía con adaptador para Luer y Luer-Lock, y obturador, d) Un collarín de fijación, e) Un tirante elástico de 44 cm de largo. Estéril, atóxico y apirogénico. Envasado individualmente en envase que garantice su conservación. Modelo: De 4,5 mm de diámetro interno de cánula. De PVC siliconado, apto para uso medicinal, con propiedades termoplásticas para su mejor adaptación. Constituida por: a) Un conjunto de cánula exterior y cánula interior de 4,5 mm de diámetro interno Variedad: Sin balón;40;Salud
2020-01-06 00:00:00;417-1211-CME20;417-5817-OC20;417 - HTAL. PEDRO DE ELIZALDE;MINISTERIO DE SALUD;DROGUERIA MARTORANI S.A.;30-70296606-6;24002.5;CANULA PARA TRAQUEOSTOMIA CON BALON b) Un repuesto de cánula interior, de 4 mm de diámetro interno, c) Una válvula de una vía con adaptador para Luer y Luer-Lock, y obturador, d) Con balón de gran volumen y baja presión, con control azul, e) Un collarín de fijación, f) Un tirante elástico de 44 cm de largo. Estéril, atóxico y apirogénico. Envasado individualmente en envase que garantice su conservación. Medida: De 4 mm Modelo: De 4 mm de diámetro interno de cánula interna. De PVC siliconado apto para uso medicinal, con propiedades termoplásticas para su mejor adaptación. Constituida por: a) Un conjunto de cánula exterior y cánula interior, de 4 mm de diametro interno Variedad: Con balón;25;Salud
2020-01-06 00:00:00;417-1211-CME20;417-5817-OC20;417 - HTAL. PEDRO DE ELIZALDE;MINISTERIO DE SALUD;DROGUERIA MARTORANI S.A.;30-70296606-6;24002.5;CANULA PARA TRAQUEOSTOMIA CON BALON En el extremo proximal de la cánula un conector estándar de 15 mm, para conexión directa con equipos de ventilación asistida y de anestesia estándar. Con balón de baja presión con pared delgada y alto volumen para minimizar daño de la pared traqueal que debe ocupar un diámetro máximo de 12,5 mm una vez insuflado. La línea de inflado del balón cuenta con una válvula Luer equipada además con balón piloto integral para indicar el inflado del mismo. Estéril y atóxico. Envasado individualmente en envase que garantice su conservación. Shilley PDC. Modelo: N° 4,5 con curvatura de 120º. De PVC biocompatible, radiopaco con diámetro interno de 4,5 mm, diámetro externo de 6,5 mm y longitud de 42 mm, con curvatura de 120º Variedad: Con balón;25;Salud
2020-01-06 00:00:00;417-1211-CME20;417-5817-OC20;417 - HTAL. PEDRO DE ELIZALDE;MINISTERIO DE SALUD;DROGUERIA MARTORANI S.A.;30-70296606-6;13746;CANULA PARA TRAQUEOSTOMIA SIN BALON b) Un repuesto de cánula interior de 3,5 mm de diámetro interno. c) Una válvula de una vía con adaptador para Luer y Luer-Lock, y obturador, d) Un collarín de fijación, e) Un tirante elástico de 44 cm de largo. Estéril, atóxico y apirogénico. Envasado individualmente en envase que garantice su conservación. Modelo: De 3,5 mm de diámetro interno de cánula. De PVC siliconado, apto para uso medicinal, con propiedades termoplásticas para su mejor adaptación. Constituida por: a) Un conjunto de cánula exterior y cánula interior de 3,5 mm de diámetro interno Variedad: Sin balón;15;Salud
